#{"t_start": 1677702823.6680574, "env_id": "Swimmer-v3"}
r,l,t
-2.300032,1000,0.487444
-7.818777,1000,0.933195
-17.035582,1000,1.384498
-4.540706,1000,1.830519
1.340805,1000,2.281235
4.176559,1000,2.737025
-4.086437,1000,3.187497
-6.481564,1000,3.632901
-9.416666,1000,4.081441
2.154917,1000,4.538375
28.818805,1000,15.741654
26.876343,1000,26.182136
27.616726,1000,39.44248
19.99576,1000,51.351017
30.063357,1000,71.778777
15.877889,1000,89.911247
16.173941,1000,106.918884
34.204352,1000,122.618754
23.735996,1000,144.666125
22.413582,1000,158.839244
31.222495,1000,175.806165
33.506603,1000,191.556707
8.19892,1000,206.466729
-1.090616,1000,225.725301
38.369296,1000,242.887806
21.880605,1000,265.297632
24.040211,1000,283.413675
-0.296749,1000,299.177245
-0.863702,1000,317.267916
19.980411,1000,328.260605
48.547408,1000,341.034376
32.161021,1000,355.965555
31.716757,1000,365.747732
17.97418,1000,375.408911
34.226333,1000,391.002285
21.602331,1000,409.752096
-0.330052,1000,420.171573
47.907209,1000,429.804792
15.04684,1000,439.844201
26.298674,1000,450.643576
20.98415,1000,466.912975
30.232972,1000,478.239184
38.215753,1000,488.161077
52.337764,1000,497.963128
47.089431,1000,515.443635
34.773523,1000,526.164262
25.050001,1000,548.572607
25.945249,1000,562.395466
2.787922,1000,573.894144
12.571912,1000,586.124488
12.641706,1000,604.804582
35.569245,1000,618.082941
26.880105,1000,633.283539
20.350077,1000,646.067017
5.154351,1000,658.29367
12.159914,1000,671.992944
12.058106,1000,684.520987
6.287846,1000,695.814899
21.56219,1000,706.894443
42.181718,1000,719.069957
15.210514,1000,731.22398
52.818219,1000,742.497775
68.471296,1000,754.335543
28.06218,1000,765.854858
47.279676,1000,777.813727
31.610829,1000,789.430852
67.589879,1000,802.861711
37.133928,1000,816.252863
10.875767,1000,830.903472
33.345141,1000,844.608762
20.699656,1000,859.367905
22.331684,1000,873.199973
32.4171,1000,885.243627
37.910782,1000,896.829755
60.02778,1000,908.14847
94.611436,1000,921.75671
1.663155,1000,932.403885
2.399516,1000,944.558098
58.260665,1000,955.799436
7.950796,1000,967.396719
8.575678,1000,979.947483
15.258163,1000,992.024772
18.632747,1000,1008.120742
10.524633,1000,1021.399167
9.046094,1000,1032.451321
10.826739,1000,1045.598573
11.800653,1000,1057.634847
